directorio,secuencia_p,orden,fex_per,ide16,ide5,ide14__1,ide14__2,ide14__3,ide14__4,ide14__5,ide14__6,ide14_2,ide14_3,ide15__1,ide15__2,ide15__3,ide15__4,ide15__5,ide15__6,ide15__7,ide15__8,ide9,ch5__1,ch5__2,ch5__3,ch5__4,ch5__5,ch5__6,ch5__7,ch5__8,ch6,estado,mpio,sm1,sm2,sm3,sm4,sm14,mi27,mi27_1,sm5,sm6,sm7,sm8,sm15,sm16__1,sm16__2,sm16__3,sm16__4,sm16__5,sm16__6,sm17,sd1,ml17,ml18,ml20,sd2,sd3,sd4,sd5,ml21,ml15,ml16__1,ml16__2,ml16__3,ml16__4,ml16__5,ml16__6,ml16__7,ml32__1,ml32__2,ml32__3,ml32__4,ml32__5,ml32__6,ml32__7,ml32__8,ml5,ml6,ml7,ml3_19,ml3_18,ml31,ir7,pd1,pd2,pd3__1,pd3__2,pd3__3,pd3__4,pd3__5,pd3__6,pd3__7,pd3__8,pd3__9,pd3__10,pd3__11,pd4,pd5,pd6,pd7,ide10
7510985,1,1,30.53232177166847,3,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,2,25,2513,2017,12,2017,12,6,2,,1,1,1.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,1,1.0,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,48.0,1,2,2,,,,,,,,,,,,,2,3,1,11,2
7510985,1,2,35.05122766717815,3,,,,,,,,,,,,,,,,,,2,0,0,0,1,1,0,0,0,2,25,2513,2017,12,2017,12,6,2,,1,1,1.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,1,1.0,,1,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,3,1,11,3
7510985,1,3,30.53232177166847,2,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,3,25,2513,2017,12,2017,12,4,2,,1,1,4.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,2.0,,1,2,,,3,2,,,,,,,,,,,,,,,,1,4.0,3.0,2.0,48.0,1,2,2,,,,,,,,,,,,,2,3,4,11,1
7510985,1,4,30.53232177166847,2,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,3,25,2513,2017,12,2017,12,4,2,,1,1,4.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,1,2,2,,,,,,,,,,,,,2,3,4,11,1
7511534,1,1,18.64397975647161,2,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,2,8,814,2020,13,2020,13,6,8,,1,1,1.0,,2,,,,,,,2,3,1,1.0,,1,2,,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,1,1.0,9.0,1.0,20.0,1,2,2,,,,,,,,,,,,,1,3,3,4,3
7511534,1,2,7.883985198757726,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,1,1,1,0,0,2,8,814,2020,13,2020,13,6,8,,1,1,2.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,3,2,,2.0,2,1,2.0,3.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,1,3,3,2,3
7511534,1,3,18.64397975647161,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,5.0,,,,,,,,,1,0,1,1,0,0,1,0,0,1,8,814,2020,13,2020,13,6,8,,1,1,4.0,,2,,,,,,,2,1,1,2.0,,1,1,1.0,,3,2,,,,,,,,,,,,,,,,1,4.0,2.0,2.0,60.0,1,1,2,,,,,,,,,,,,,1,3,4,6,2
7511534,1,4,7.883985198757726,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,1,1,1,0,0,0,0,2,8,814,2020,13,2020,13,6,8,,1,4,,,2,,,,,,,2,1,2,,2.0,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,2,2,2,,,,,,,,,,,,,1,3,3,4,1
7511534,1,5,8.29870654515123,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,2,8,814,2020,13,2020,13,6,8,,1,4,,,2,,,,,,,2,2,2,,2.0,2,1,2.0,3.0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,9.0,1.0,48.0,2,2,1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,4,2
7511657,1,1,17.46647012168404,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,4.0,,,,,,,,,1,0,0,0,1,1,0,0,0,3,19,1910,2021,9,2021,9,6,4,,2,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,1,1.0,3.0,1.0,60.0,1,2,2,,,,,,,,,,,,,2,3,4,1,2
